query,description,label
I want a lightweight laptop that is cheap.,"msi MSI Thin GF63 12UC-846IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics) with core i5 processor, 16GB RAM, dedicated GPU, priced at $635.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home) with ryzen 7 processor, 16GB RAM, integrated GPU, priced at $688.68, 16.0-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo IdeaPad Slim 3 82H803LKIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11) with core i5 processor, 16GB RAM, integrated GPU, priced at $569.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph) with core i7 processor, 16GB RAM, dedicated GPU, priced at $1847.88, 16.1-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo V15 G3 IAP 82TTA08AIN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/Win11) with core i7 processor, 16GB RAM, integrated GPU, priced at $599.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph) with core i7 processor, 16GB RAM, dedicated GPU, priced at $911.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph) with ryzen 5 processor, 16GB RAM, dedicated GPU, priced at $665.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"wings Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11) with core i5 processor, 8GB RAM, integrated GPU, priced at $335.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP 255 G9 840T7PA Laptop (AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS) with other processor, 4GB RAM, integrated GPU, priced at $231.59, 15.6-inch display",1
I want a lightweight laptop that is cheap.,"lenovo Lenovo V15 G4 82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home) with ryzen 3 processor, 8GB RAM, integrated GPU, priced at $335.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"apple Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB SSD/ macOS) with m3 processor, 8GB RAM, apple GPU, priced at $4798.80, 16.2-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11) with core i3 processor, 8GB RAM, integrated GPU, priced at $479.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus VivoBook 15 X1500EA-EJ311W Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11) with core i3 processor, 8GB RAM, integrated GPU, priced at $335.88, 15.6-inch display",1
I want a lightweight laptop that is cheap.,"acer Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $935.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph) with ryzen 7 processor, 16GB RAM, dedicated GPU, priced at $947.88, 16.1-inch display",0
I want a lightweight laptop that is cheap.,"ultimus Ultimus Elite NU14U3INF56BN-CS Laptop (10th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home) with core i5 processor, 8GB RAM, integrated GPU, priced at $239.88, 14.1-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Pavilion 15-eg3081TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home) with core i5 processor, 16GB RAM, integrated GPU, priced at $863.99, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"msi MSI GF63 Thin 11UC-1294IN Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win11/ 4GB Graph) with core i7 processor, 16GB RAM, dedicated GPU, priced at $801.36, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"samsung Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11) with core i5 processor, 8GB RAM, integrated GPU, priced at $539.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"samsung Samsung Galaxy Book2 NP550XED-KA2IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11) with core i5 processor, 16GB RAM, integrated GPU, priced at $575.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph) with core i5 processor, 8GB RAM, dedicated GPU, priced at $575.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home) with ryzen 5 processor, 8GB RAM, integrated GPU, priced at $563.88, 16.0-inch display",0
I want a lightweight laptop that is cheap.,"apple Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS) with m2 processor, 8GB RAM, apple GPU, priced at $1235.88, 13.6-inch display",0
I want a lightweight laptop that is cheap.,"dell Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $818.87, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"acer Acer Aspire Lite AL15-52 15 Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11) with core i5 processor, 16GB RAM, integrated GPU, priced at $563.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"acer Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11) with core i3 processor, 16GB RAM, integrated GPU, priced at $419.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP 15s-fr5011TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home) with core i5 processor, 16GB RAM, integrated GPU, priced at $647.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus Vivobook 16X 2023 K3605ZF-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $767.88, 16.0-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph) with ryzen 9 processor, 16GB RAM, dedicated GPU, priced at $1362.85, 13.4-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 15-fa1062TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $1065.60, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph) with ryzen 5 processor, 16GB RAM, dedicated GPU, priced at $642.84, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Omen 16-xf0060AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph) with ryzen 7 processor, 16GB RAM, dedicated GPU, priced at $1403.88, 16.0-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 15-fa0555TX  Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $849.72, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"dell Dell G15-5530 GN5530D83M6002ORB1 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $975.48, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"msi MSI Modern 14 C11M-030IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home) with core i5 processor, 8GB RAM, integrated GPU, priced at $431.40, 14.0-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus ROG Strix SCAR 16 2023 G634JZ-NM057WS Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 12GB Graph) with core i9 processor, 32GB RAM, dedicated GPU, priced at $3239.88, 16.0-inch display",0
I want a lightweight laptop that is cheap.,"msi MSI Thin GF63 12VE-071IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/6GB Graphics) with core i5 processor, 16GB RAM, dedicated GPU, priced at $839.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"dell Dell Vostro 3425 Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB SSD/ Win11 Home) with ryzen 5 processor, 8GB RAM, integrated GPU, priced at $475.79, 14.0-inch display",1
I want a lightweight laptop that is cheap.,"infinix Infinix INBook Y1 Plus 15 XL28 Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home) with core i5 processor, 8GB RAM, integrated GPU, priced at $359.88, 15.6-inch display",1
I want a lightweight laptop that is cheap.,"acer Acer Aspire Lite AL15-52 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11) with core i3 processor, 8GB RAM, integrated GPU, priced at $395.88, 15.6-inch display",1
I want a lightweight laptop that is cheap.,"hp HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph) with ryzen 7 processor, 16GB RAM, dedicated GPU, priced at $1003.08, 16.1-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 15-FB1001AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph) with ryzen 5 processor, 8GB RAM, dedicated GPU, priced at $653.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home) with ryzen 5 processor, 16GB RAM, integrated GPU, priced at $509.99, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"infinix Infinix INBook X3 Slim XL422 2023 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home) with core i3 processor, 8GB RAM, integrated GPU, priced at $335.88, 14.0-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Omen 16-u0005TX Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph) with core i7 processor, 16GB RAM, dedicated GPU, priced at $1775.88, 16.1-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $889.02, 17.3-inch display",0
I want a lightweight laptop that is cheap.,"dell Dell Inspiron 5430 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11) with core i7 processor, 16GB RAM, integrated GPU, priced at $1037.88, 14.0-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11) with core i7 processor, 16GB RAM, integrated GPU, priced at $731.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo Ideapad Gaming 3 82SB00NXIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph) with ryzen 5 processor, 16GB RAM, dedicated GPU, priced at $683.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"dell Dell Inspiron 5630 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11) with core i5 processor, 16GB RAM, integrated GPU, priced at $869.88, 16.0-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus VivoBook 14 X415EA-EK344WS Notebook (11th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home) with core i3 processor, 16GB RAM, integrated GPU, priced at $431.88, 14.0-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph) with core i7 processor, 16GB RAM, dedicated GPU, priced at $1307.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $695.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 15-fa0998TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $839.99, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 15-fa0666TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $863.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"apple Apple MacBook Air 15 2023 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS) with m2 processor, 8GB RAM, apple GPU, priced at $1439.88, 15.3-inch display",0
I want a lightweight laptop that is cheap.,"infinix Infinix INBook Y1 Plus Neo XL30 Laptop (Intel Celeron N5100/ 8GB/ 512GB SSD/ Win 11 Home) with celeron processor, 8GB RAM, integrated GPU, priced at $323.88, 15.6-inch display",1
I want a lightweight laptop that is cheap.,"hp HP Pavilion x360 14-ek1010TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11) with core i5 processor, 16GB RAM, integrated GPU, priced at $934.79, 14.0-inch display",0
I want a lightweight laptop that is cheap.,"primebook Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11) with other processor, 4GB RAM, integrated GPU, priced at $179.88, 11.6-inch display",0
I want a lightweight laptop that is cheap.,"dell Dell Inspiron 3520 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11) with core i5 processor, 8GB RAM, integrated GPU, priced at $600.00, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"acer Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $683.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 15-fa0070TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph) with core i5 processor, 8GB RAM, dedicated GPU, priced at $695.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 16-e0352AX Gaming Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph) with ryzen 5 processor, 8GB RAM, dedicated GPU, priced at $599.99, 16.1-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home) with core i5 processor, 16GB RAM, integrated GPU, priced at $869.88, 14.0-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus Vivobook S15 OLED K3502ZA-L501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11) with core i5 processor, 16GB RAM, integrated GPU, priced at $836.27, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"iball iBall Excelance CompBook Laptop (AQC/ 2GB/ 32GB/Win10) with other processor, 2GB RAM, integrated GPU, priced at $117.60, 11.6-inch display",0
I want a lightweight laptop that is cheap.,"ultimus Ultimus Lite NU14U3INC54BN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home) with celeron processor, 8GB RAM, integrated GPU, priced at $191.88, 14.1-inch display",1
I want a lightweight laptop that is cheap.,"dell Dell G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $1007.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus VivoBook 14 X1400EA-EK543WS Notebook (11th Gen Core i5/16GB/ 512GB SSD/ Win11 Home) with core i5 processor, 16GB RAM, integrated GPU, priced at $563.88, 14.0-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Pavilion 15-EG2119TU Laptop (12th Gen Core i5/12GB RAM/ 512GB SSD/ Win11) with core i5 processor, 12GB RAM, integrated GPU, priced at $731.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo IdeaPad Slim 3 82X60013IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11) with core i3 processor, 8GB RAM, integrated GPU, priced at $539.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11) with ryzen 3 processor, 8GB RAM, integrated GPU, priced at $419.88, 15.6-inch display",1
I want a lightweight laptop that is cheap.,"hp HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $803.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo V15 G4 Laptop (AMD Athlon Silver 7120U/ 8GB/ 512GB SSD/ Win11 Home) with other processor, 8GB RAM, integrated GPU, priced at $293.28, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 15-fb1002AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph) with ryzen 5 processor, 8GB RAM, dedicated GPU, priced at $623.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"msi MSI Thin GF63 11SC-1629IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $659.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"ultimus Ultimus Pro NU14U3INC43BN-CS Laptop (Celeron N4020/ 4GB/ 128GB SSD/ Win11 Home) with celeron processor, 4GB RAM, integrated GPU, priced at $143.88, 14.1-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11) with ryzen 7 processor, 8GB RAM, integrated GPU, priced at $587.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"msi MSI Katana 15 B13UDXK-1482IN Gaming Laptop (13th Gen Core i5/ 32GB/ 1TB SSD/ Win11 Home/ 6GB Graph) with core i5 processor, 32GB RAM, dedicated GPU, priced at $899.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"msi MSI Bravo 15 B7ED-012IN Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph) with ryzen 5 processor, 8GB RAM, dedicated GPU, priced at $599.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11) with core i5 processor, 16GB RAM, integrated GPU, priced at $647.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus Vivobook 16 2023 X1605VA-MB947WS Laptop (13th Gen Core i9/ 16GB/ 512GB SSD/ Win11 Home) with core i9 processor, 16GB RAM, integrated GPU, priced at $980.27, 16.0-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo IdeaPad Gaming 3 82SB00V3IN Laptop (AMD Ryzen 5 6600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph) with ryzen 5 processor, 16GB RAM, dedicated GPU, priced at $766.67, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11) with core i3 processor, 8GB RAM, integrated GPU, priced at $444.48, 15.6-inch display",1
I want a lightweight laptop that is cheap.,"asus Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $1139.88, 16.0-inch display",0
I want a lightweight laptop that is cheap.,"infinix Infinix INBook X2 Slim Series XL23 2023 Laptop (11th Gen Core i5/ 16GB/ 1TB SSD/ Win 11 Home) with core i5 processor, 16GB RAM, integrated GPU, priced at $431.88, 14.0-inch display",1
I want a lightweight laptop that is cheap.,"asus Asus Vivobook Pro 15 M6500RC-HN741WS Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph) with ryzen 7 processor, 16GB RAM, dedicated GPU, priced at $875.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 15-fb1016AX  Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph) with ryzen 5 processor, 8GB RAM, dedicated GPU, priced at $671.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo Yoga 7 82YM0074IN Laptop (AMD Ryzen 7 7735U/ 16GB/ 1TB SSD/ Win11 Home) with ryzen 7 processor, 16GB RAM, integrated GPU, priced at $1139.88, 14.0-inch display",0
I want a lightweight laptop that is cheap.,"hp HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11) with core i5 processor, 8GB RAM, integrated GPU, priced at $621.60, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus15-fb0147AX Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph) with ryzen 5 processor, 8GB RAM, dedicated GPU, priced at $597.30, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph) with core i5 processor, 8GB RAM, dedicated GPU, priced at $647.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph) with core i5 processor, 16GB RAM, dedicated GPU, priced at $959.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"msi MSI Modern 15 B11M-061IN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home) with core i5 processor, 16GB RAM, integrated GPU, priced at $503.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"acer Acer Aspire Lite AL15 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11) with ryzen 5 processor, 16GB RAM, integrated GPU, priced at $455.88, 15.6-inch display",1
I want a lightweight laptop that is cheap.,"asus Asus Vivobook 14X K3405ZFB-KM752WS Laptop (12th Gen Core i7 /16GB/ 1TB SSD/Win11/ 4GB Graphic) with core i7 processor, 16GB RAM, dedicated GPU, priced at $1031.88, 14.0-inch display",0
I want a lightweight laptop that is cheap.,"acer Acer Aspire Lite 2023 AL15-51 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11) with core i5 processor, 8GB RAM, integrated GPU, priced at $473.99, 15.6-inch display",1
I want a lightweight laptop that is cheap.,"infinix Infinix Zerobook 13 ZL513 2023 Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win 11 Home) with core i7 processor, 32GB RAM, integrated GPU, priced at $695.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus Vivobook 14X K3405ZFB-KM541WS Laptop (12th Gen Core i5 /16GB/512GB SSD/Win11) with core i5 processor, 16GB RAM, dedicated GPU, priced at $815.88, 14.0-inch display",0
I want a lightweight laptop that is cheap.,"acer Acer Nitro 5 AN515-58 NH.QLZSI.001 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph) with core i7 processor, 16GB RAM, dedicated GPU, priced at $1139.88, 15.6-inch display",0
